aaa 	 17	109	469	1744	6129	20692	67837
aab 	 18	120	509	1864	6441	21452	69621
aac 	 18	120	509	1864	6441	21452	69621
aba 	 19	128	533	1928	6593	21788	70333
abb 	 18	120	509	1864	6441	21452	69621
abc 	 19	130	540	1952	6661	21960	70733
aca 	 19	128	533	1928	6593	21788	70333
acb 	 19	130	540	1952	6661	21960	70733
acc 	 18	120	509	1864	6441	21452	69621
baa 	 18	120	509	1864	6441	21452	69621
bab 	 19	128	533	1928	6593	21788	70333
bac 	 19	130	540	1952	6661	21960	70733
bba 	 18	120	509	1864	6441	21452	69621
bbb 	 17	109	469	1744	6129	20692	67837
bbc 	 18	120	509	1864	6441	21452	69621
bca 	 19	130	540	1952	6661	21960	70733
bcb 	 19	128	533	1928	6593	21788	70333
bcc 	 18	120	509	1864	6441	21452	69621
caa 	 18	120	509	1864	6441	21452	69621
cab 	 19	130	540	1952	6661	21960	70733
cac 	 19	128	533	1928	6593	21788	70333
cba 	 19	130	540	1952	6661	21960	70733
cbb 	 18	120	509	1864	6441	21452	69621
cbc 	 19	128	533	1928	6593	21788	70333
cca 	 18	120	509	1864	6441	21452	69621
ccb 	 18	120	509	1864	6441	21452	69621
ccc 	 17	109	469	1744	6129	20692	67837
